#TYPE System.Data.DataRow
"CustomerID","NameStyle","Title","FirstName","MiddleName","LastName","Suffix","CompanyName","SalesPerson","EmailAddress","Phone","PasswordHash","PasswordSalt","rowguid","ModifiedDate"
"1","False","Mr.","Orlando","N.","Gee","","A Bike Store","adventure-works\pamela0","orlando0@adventure-works.com","245-555-0173","L/Rlwxzp4w7RWmEgXX+/A7cXaePEPcp+KwQhl2fJL7w=","1KjXYs4=","3f5ae95e-b87d-4aed-95b4-c3797afcb74f","8/1/2005 12:00:00 AM"
"2","False","Mr.","Keith","","Harris","","Progressive Sports","adventure-works\david8","keith0@adventure-works.com","170-555-0127","YPdtRdvqeAhj6wyxEsFdshBDNXxkCXn+CRgbvJItknw=","fs1ZGhY=","e552f657-a9af-4a7d-a645-c429d6e02491","8/1/2006 12:00:00 AM"
"3","False","Ms.","Donna","F.","Carreras","","Advanced Bike Components","adventure-works\jillian0","donna0@adventure-works.com","279-555-0130","LNoK27abGQo48gGue3EBV/UrlYSToV0/s87dCRV7uJk=","YTNH5Rw=","130774b1-db21-4ef3-98c8-c104bcd6ed6d","9/1/2005 12:00:00 AM"
"4","False","Ms.","Janet","M.","Gates","","Modular Cycle Systems","adventure-works\jillian0","janet1@adventure-works.com","710-555-0173","ElzTpSNbUW1Ut+L5cWlfR7MF6nBZia8WpmGaQPjLOJA=","nm7D5e4=","ff862851-1daa-4044-be7c-3e85583c054d","7/1/2006 12:00:00 AM"
"5","False","Mr.","Lucy","","Harrington","","Metropolitan Sports Supply","adventure-works\shu0","lucy0@adventure-works.com","828-555-0186","KJqV15wsX3PG8TS5GSddp6LFFVdd3CoRftZM/tP0+R4=","cNFKU4w=","83905bdc-6f5e-4f71-b162-c98da069f38a","9/1/2006 12:00:00 AM"
"6","False","Ms.","Rosmarie","J.","Carroll","","Aerobic Exercise Company","adventure-works\linda3","rosmarie0@adventure-works.com","244-555-0112","OKT0scizCdIzymHHOtyJKQiC/fCILSooSZ8dQ2Y34VM=","ihWf50M=","1a92df88-bfa2-467d-bd54-fcb9e647fdd7","9/1/2007 12:00:00 AM"
"7","False","Mr.","Dominic","P.","Gash","","Associated Bikes","adventure-works\shu0","dominic0@adventure-works.com","192-555-0173","ZccoP/jZGQm+Xpzc7RKwDhS11YFNybwcPVRYTSNcnSg=","sPoUBSQ=","03e9273e-b193-448e-9823-fe0c44aeed78","7/1/2006 12:00:00 AM"
"10","False","Ms.","Kathleen","M.","Garza","","Rural Cycle Emporium","adventure-works\jos?1","kathleen0@adventure-works.com","150-555-0127","Qa3aMCxNbVLGrc0b99KsbQqiVgwYDfHcsK9GZSUxcTM=","Ls05W3g=","cdb6698d-2ff1-4fba-8f22-60ad1d11dabd","9/1/2006 12:00:00 AM"
"11","False","Ms.","Katherine","","Harding","","Sharp Bikes","adventure-works\jos?1","katherine0@adventure-works.com","926-555-0159","uRlorVzDGNJIX9I+ehTlRK+liT4UKRgWhApJgUMC2d4=","jpHKbqE=","750f3495-59c4-48a0-80e1-e37ec60e77d9","8/1/2005 12:00:00 AM"
"12","False","Mr.","Johnny","A.","Caprio","Jr.","Bikes and Motorbikes","adventure-works\garrett1","johnny0@adventure-works.com","112-555-0191","jtF9jBoFYeJTaET7x+eJDkd7BzMz15Wo9odbGPBaIak=","wVLnvHo=","947bcaf1-1f32-44f3-b9c3-0011f95fbe54","8/1/2006 12:00:00 AM"
"16","False","Mr.","Christopher","R.","Beck","Jr.","Bulk Discount Store","adventure-works\jae0","christopher1@adventure-works.com","1 (11) 500 555-0132","sKt9daCzEEKWAzivEGPOp8tmaM1R3I+aJfcBjzJRFLo=","8KfYx/4=","c9381589-d31c-4efe-8978-8d3449eb1f0f","9/1/2006 12:00:00 AM"
"18","False","Mr.","David","J.","Liu","","Catalog Store","adventure-works\michael9","david20@adventure-works.com","440-555-0132","61zeTkO+eI5g8GG0swny8Wp/6GzZMFnT71fnW4lTHNY=","c7Ttvv0=","c04d6b4d-94c6-4c5c-a44c-b449c0ac1b45","8/1/2005 12:00:00 AM"
"19","False","Mr.","John","A.","Beaver","","Center Cycle Shop","adventure-works\pamela0","john8@adventure-works.com","521-555-0195","DzbqWX7B3EK5Dub92CKHYSUGKGbZCbrcVDpVe/xyBeI=","zXNgrJw=","69ae5d43-31be-4b76-bfbb-5a23c4788bbc","4/1/2007 12:00:00 AM"
"20","False","Ms.","Jean","P.","Handley","","Central Discount Store","adventure-works\david8","jean1@adventure-works.com","582-555-0113","o1GVo3vExeNzo0/ctdRGf2eDK3uzTlcUbr18tN+Slf8=","uMsvfdo=","e010c10a-f1c3-4bba-81ca-a7e083350400","9/1/2005 12:00:00 AM"
"21","False","","Jinghao","","Liu","","Chic Department Stores","adventure-works\jillian0","jinghao1@adventure-works.com","928-555-0116","IaD5AeqK9mRiIrJi/etZGVO6EiybLf/oksA2CqrpoJ0=","p6pOqKc=","564e0b42-4609-43de-9881-914da433d82d","9/1/2006 12:00:00 AM"
